ORGANIZATION	AWARDS	FUNDING	CITY	STATE
TEXAS HEART INSTITUTE	2	1135940	HOUSTON	TX
TEXAS SOUTHERN UNIVERSITY	2	222536	HOUSTON	TX
TEXAS STATE UNIVERSITY-SAN MARCOS	4	1042428	SAN MARCOS	TX
TEXAS TECH UNIVERSITY	5	1256371	LUBBOCK	TX
TEXAS TECH UNIVERSITY HEALTH SCIS CENTER	32	10069346	LUBBOCK	TX
TEXAS WOMAN'S UNIVERSITY	1	85912	DENTON	TX
"TF SENSORS, LLC"	1	496489	MESA	AZ
THE MIND RESEARCH NETWORK	17	9368427	ALBUQUERQUE	NM
"THERADEX SYSTEMS, INC."	1	3890312	PRINCETON	NJ
"THERAGNOSTIC TECHNOLOGIES, INC."	1	160493	CORAM	NY
"THERALOGICS, INC."	1	698128	Chapel Hill	NC
"THERANOVA, LLC"	1	224666	SAN FRANCISCO	CA
"THERAPYX, INC."	2	1299998	BUFFALO	NY
"THERASOURCE, LLC"	2	855208	ROSLYN	NY
"THERMAL GRADIENT, INC."	1	874355	Fairport	NY
"THERMALIN DIABETES, LLC"	4	2373934	CLEVELAND	OH
"THERMIMAGE, INC."	1	186911	SALT LAKE CITY	UT
"THEYFIT, LLC"	1	224863	COVINGTON	GA
"THINK NOW, INC."	2	747843	SAN FRANCISCO	CA
THOMAS JEFFERSON UNIVERSITY	156	47642404	PHILADELPHIA	PA
"TISSUETECH, INC."	2	760253	MIAMI	FL
TOLEDO COMMUNITY HOSPITAL ONCOLOGY PROG	1	676878	TOLEDO	OH
"TOMEGAVAX, INC."	1	300000	PORTLAND	OR
"TOMOWAVE LABORATORIES, INC."	2	743486	HOUSTON	TX
TORREY PINES INST FOR MOLECULAR STUDIES	16	5860553	PORT SAINT LUCIE	FL
"TORREY PINES PHARMACEUTICALS, INC."	1	266344	DEL MAR	CA
"TOTAL CHILD HEALTH, INC."	2	651686	BALTIMORE	MD
TOUGALOO COLLEGE	3	1392386	TOUGALOO	MS
TOURO UNIVERSITY OF CALIFORNIA	4	1462640	VALLEJO	CA
TOWSON UNIVERSITY	1	106434	TOWSON	MD
TOYOTA TECHNOLOGICAL INSTITUTE / CHICAGO	1	256563	CHICAGO	IL
"TRANSCENDENT INTERNATIONAL, LLC"	2	1633597	NEW YORK	NY
"TRANSDERM, INC."	1	1045754	SANTA CRUZ	CA
"TRANSGENEX NANOBIOTECH, INC."	1	299992	TAMPA	FL
"TRANSGENOMIC, INC."	1	200000	Omaha	NE
TRANSLATIONAL GENOMICS RESEARCH INST	9	4650324	PHOENIX	AZ
"TRANSLATIONAL SCIENCES, INC."	2	1735397	Memphis	TN
"TRANSTIMULATION RESEARCH, INC."	1	200330	OKLAHOMA CITY	OK
"TREATMENT RESEARCH INSTITUTE, INC. (TRI)"	6	3813302	PHILADELPHIA	PA
"TRELLIS BIOSCIENCE, LLC"	1	1000000	SOUTH SAN FRANCISCO	CA
"TREVENA, INC."	1	1	KING OF PRUSSIA	PA
"TREVIGEN, INC."	2	1308195	GAITHERSBURG	MD
TRIA BIOSCIENCE CORPORATION	4	1800137	SEATTLE	WA
"TRIAD INTERACTIVE, INC."	1	45477	WASHINGTON	DC
"TRIBOFILM RESEARCH, INC."	1	764625	RALEIGH	NC
"TRIBOLOGICS, LLC"	1	338259	FRAMINGHAM	MA
"TRILINK BIOTECHNOLOGIES, INC."	1	132803	SAN DIEGO	CA
"TRIM-EDICINE, INC."	2	899390	NORTH BRUNSWICK	NJ
TRINITY COLLEGE	1	409207	HARTFORD	CT
"TRIPLE RING TECHNOLOGIES, INC."	1	577439	Newark	CA
"TRIUS THERAPEUTICS, INC."	1	3624974	SAN DIEGO	CA
"TROPHOGEN, INC."	2	1256020	ROCKVILLE	MD
"TRUDEAU INSTITUTE, INC."	3	809454	SARANAC LAKE	NY
"TSRL, INC."	2	1300000	ANN ARBOR	MI
TUBEROUS SCLEROSIS ALLIANCE	1	25500	SILVER SPRING	MD
TUFTS MEDICAL CENTER	64	30823441	BOSTON	MA
TUFTS UNIVERSITY BOSTON	136	48040076	BOSTON	MA
TUFTS UNIVERSITY MEDFORD	33	8602192	MEDFORD	MA
TULANE UNIVERSITY OF LOUISIANA	118	56847372	NEW ORLEANS	LA
"TUMOREND, LLC"	1	149043	BATON ROUGE	LA
"TUNITAS THERAPEUTICS, INC."	3	2831128	San Francisco	CA
TUSKEGEE UNIVERSITY	5	2572695	TUSKEGEE	AL
TWIN STAR MEDICAL	2	1117290	St Paul	MN
"TWISTNOSTICS, LLC"	2	382196	COLUMBIA	MD
"TWO PORE GUYS, INC."	1	149985	SANTA CRUZ	CA
"TYMORA ANALYTICAL OPERATIONS, LLC"	2	444117	WEST LAFAYETTE	IN
U.S. AGRICULTURAL RESEARCH SERVICE	1	120129	WYNDMOOR	PA
U.S. ARMY MEDICAL RESEARCH INST CHEM DEF	3	3024340	ABERDEEN PROVING GROUND	MD
"U.S. DRUG TESTING LABORATORIES, INC."	1	162315	DES PLAINES	IL
"UBIVAC, LLC"	2	880637	PORTLAND	OR
"UES, INC."	1	149998	DAYTON	OH
"ULTRADIAN DIAGNOSTICS, LLC"	1	723824	RENSSELAER	NY
UNION COLLEGE	1	329593	SCHENECTADY	NY
UNION GRADUATE COLLEGE	1	252986	SCHENECTADY	NY
"UNITAQ BIO, INC."	1	207739	LOS ALTOS	CA
"UNITHER VIROLOGY, LLC"	2	6460999	SILVER SPRING	MD
UNIV OF ARKANSAS FOR MED SCIS	84	38461140	LITTLE ROCK	AR
UNIV OF MASSACHUSETTS MED SCH WORCESTER	312	130350480	WORCESTER	MA
UNIV OF MED/DENT NJ-R W JOHNSON MED SCH	33	3023903	PISCATAWAY	NJ
UNIV OF MED/DENT NJ-SCH OF PUBLIC HEALTH	3	142082	NEW BRUNSWICK	NJ
UNIV OF MED/DENT NJ-SCH OSTEOPATHIC MED	1	50296	STRATFORD	NJ
UNIV OF MED/DENT OF NJ-NJ MEDICAL SCHOOL	49	6294965	NEWARK	NJ
UNIV OF NORTH CAROLINA CHAPEL HILL	892	383752058	CHAPEL HILL	NC
"UNIV OF TX HSC, SA"	215	69979599	SAN ANTONIO	TX
UNIV/TEXAS BROWNSVILLE & SOUTHMOST COLL	7	1688667	BROWNSVILLE	TX
UNIVERSAL STABILIZATION TECHNOLOGIES	1	519786	SAN DIEGO	CA
UNIVERSIDAD CENTRAL DEL CARIBE	11	5379753	BAYAMON	PR
UNIVERSIDAD DEL ESTE	1	482501	CAROLINA	PR
UNIVERSITY OF AKRON	5	1254289	AKRON	OH
UNIVERSITY OF ALABAMA AT BIRMINGHAM	457	188847448	BIRMINGHAM	AL
UNIVERSITY OF ALABAMA IN TUSCALOOSA	10	3074223	TUSCALOOSA	AL
UNIVERSITY OF ALASKA ANCHORAGE	3	1022090	ANCHORAGE	AK
UNIVERSITY OF ALASKA FAIRBANKS	7	5971736	FAIRBANKS	AK
UNIVERSITY OF ARIZONA	220	74779182	TUCSON	AZ
UNIVERSITY OF ARKANSAS AT FAYETTEVILLE	6	2066420	FAYETTEVILLE	AR
UNIVERSITY OF ARKANSAS AT LITTLE ROCK	1	162724	LITTLE ROCK	AR
UNIVERSITY OF CALIF-LAWRENC BERKELEY LAB	45	27116291	BERKELEY	CA
UNIVERSITY OF CALIF-LAWRNC LVRMR NAT LAB	3	2268153	LIVERMORE	CA
UNIVERSITY OF CALIFORNIA	847	362004733	LA JOLLA	CA
UNIVERSITY OF CALIFORNIA BERKELEY	357	119785503	BERKELEY	CA
UNIVERSITY OF CALIFORNIA DAVIS	439	180683527	DAVIS	CA
UNIVERSITY OF CALIFORNIA IRVINE	340	126433097	IRVINE	CA
UNIVERSITY OF CALIFORNIA LOS ANGELES	829	341211533	LOS ANGELES	CA
UNIVERSITY OF CALIFORNIA RIVERSIDE	58	15835300	RIVERSIDE	CA
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	1174	501656900	SAN FRANCISCO	CA
UNIVERSITY OF CALIFORNIA SANTA BARBARA	58	18453859	SANTA BARBARA	CA
UNIVERSITY OF CALIFORNIA SANTA CRUZ	67	28551095	SANTA CRUZ	CA
UNIVERSITY OF CALIFORNIA SYS OFFICE/PRES	1	10000	OAKLAND	CA
"UNIVERSITY OF CALIFORNIA, MERCED"	9	2236249	MERCED	CA
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO"	12	15484153	SAN FRANCISCO	CA
UNIVERSITY OF CENTRAL ARKANSAS	2	658151	CONWAY	AR
UNIVERSITY OF CENTRAL FLORIDA	26	7209786	ORLANDO	FL
UNIVERSITY OF CENTRAL OKLAHOMA	1	162298	EDMOND	OK
UNIVERSITY OF CHICAGO	392	160450900	CHICAGO	IL
UNIVERSITY OF CINCINNATI	157	65065239	CINCINNATI	OH
UNIVERSITY OF COLORADO	138	40292061	BOULDER	CO
UNIVERSITY OF COLORADO AT COLORADO SPGS	1	645346	COLORADO SPRINGS	CO
UNIVERSITY OF COLORADO DENVER	502	184692174	AURORA	CO
UNIVERSITY OF COLORADO DENVER/HSC DENVER	2	545261	AURORA	CO
UNIVERSITY OF CONNECTICUT SCH OF MED/DNT	120	50163695	FARMINGTON	CT
UNIVERSITY OF CONNECTICUT STORRS	52	16179653	STORRS-MANSFIELD	CT
UNIVERSITY OF DAYTON	1	323796	DAYTON	OH
UNIVERSITY OF DELAWARE	36	20206081	NEWARK	DE
UNIVERSITY OF DENVER (COLORADO SEMINARY)	14	3165394	DENVER	CO
UNIVERSITY OF FLORIDA	326	127141750	GAINESVILLE	FL
UNIVERSITY OF GEORGIA	106	35892320	ATHENS	GA
UNIVERSITY OF GUAM	1	938735	MANGILAO	GU
UNIVERSITY OF HAWAII AT HILO	1	134922	HILO	HI
UNIVERSITY OF HAWAII AT MANOA	59	36624663	HONOLULU	HI
UNIVERSITY OF HOUSTON	62	15044229	HOUSTON	TX
UNIVERSITY OF HOUSTON-DOWNTOWN	1	106109	HOUSTON	TX
UNIVERSITY OF IDAHO	7	5595851	MOSCOW	ID
UNIVERSITY OF ILLINOIS	327	133388035	CHICAGO	IL
UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN	183	58803452	CHAMPAIGN	IL
UNIVERSITY OF IOWA	376	151386871	IOWA CITY	IA
UNIVERSITY OF KANSAS	120	50565211	KANSAS CITY	KS
UNIVERSITY OF KANSAS LAWRENCE	66	24581177	LAWRENCE	KS
UNIVERSITY OF KENTUCKY	231	77613416	LEXINGTON	KY
UNIVERSITY OF LOUISIANA AT LAFAYETTE	2	1184320	LAFAYETTE	LA
UNIVERSITY OF LOUISIANA AT MONROE	3	1003369	MONROE	LA
UNIVERSITY OF LOUISVILLE RES FDN	123	47383635	LOUISVILLE	KY
UNIVERSITY OF MAINE ORONO	3	791995	ORONO	ME
UNIVERSITY OF MARYLAND BALT CO CAMPUS	23	7766787	BALTIMORE	MD
UNIVERSITY OF MARYLAND BALTIMORE	371	163187812	BALTIMORE	MD
UNIVERSITY OF MARYLAND COLLEGE PK CAMPUS	122	35138594	COLLEGE PARK	MD
UNIVERSITY OF MARYLAND EASTERN SHORE	2	380999	PRINCESS ANNE	MD
UNIVERSITY OF MASSACHUSETTS AMHERST	60	21678867	AMHERST	MA
UNIVERSITY OF MASSACHUSETTS BOSTON	11	3903570	BOSTON	MA
UNIVERSITY OF MASSACHUSETTS DARTMOUTH	1	77166	NORTH DARTMOUTH	MA
UNIVERSITY OF MASSACHUSETTS LOWELL	8	2649223	LOWELL	MA
UNIVERSITY OF MEMPHIS	9	3665026	MEMPHIS	TN
UNIVERSITY OF MIAMI CORAL GABLES	26	7984490	CORAL GABLES	FL
UNIVERSITY OF MIAMI ROSENTEIL SCHOOL	1	499787	MIAMI	FL
UNIVERSITY OF MIAMI SCHOOL OF MEDICINE	256	104622362	CORAL GABLES	FL
UNIVERSITY OF MICHIGAN	1021	412016862	ANN ARBOR	MI
UNIVERSITY OF MINNESOTA	606	263576394	MINNEAPOLIS	MN
UNIVERSITY OF MINNESOTA DULUTH	2	725673	DULUTH	MN
UNIVERSITY OF MISSISSIPPI	8	4787692	UNIVERSITY	MS
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER	46	25814015	JACKSON	MS
UNIVERSITY OF MISSOURI KANSAS CITY	28	9128876	KANSAS CITY	MO
UNIVERSITY OF MISSOURI-COLUMBIA	100	34194279	COLUMBIA	MO
UNIVERSITY OF MISSOURI-ST. LOUIS	5	1382792	SAINT LOUIS	MO
UNIVERSITY OF MONTANA	27	8452358	MISSOULA	MT
UNIVERSITY OF NEBRASKA LINCOLN	42	13303991	LINCOLN	NE
UNIVERSITY OF NEBRASKA MEDICAL CENTER	118	56500554	OMAHA	NE
UNIVERSITY OF NEBRASKA OMAHA	2	193818	OMAHA	NE
UNIVERSITY OF NEVADA LAS VEGAS	11	6722821	LAS VEGAS	NV
UNIVERSITY OF NEVADA RENO	31	17028691	RENO	NV
UNIVERSITY OF NEW ENGLAND	5	2906781	BIDDEFORD	ME
UNIVERSITY OF NEW HAMPSHIRE	4	721073	DURHAM	NH
UNIVERSITY OF NEW MEXICO	29	10188875	ALBUQUERQUE	NM
UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR	99	43379733	ALBUQUERQUE	NM
UNIVERSITY OF NORTH CAROLINA AT PEMBROKE	1	280865	PEMBROKE	NC
UNIVERSITY OF NORTH CAROLINA CHARLOTTE	9	2291229	CHARLOTTE	NC
UNIVERSITY OF NORTH CAROLINA GREENSBORO	18	6107946	GREENSBORO	NC
UNIVERSITY OF NORTH CAROLINA WILMINGTON	1	234989	WILMINGTON	NC
UNIVERSITY OF NORTH DAKOTA	17	9830286	GRAND FORKS	ND
UNIVERSITY OF NORTH TEXAS	2	910530	DENTON	TX
UNIVERSITY OF NORTH TEXAS HLTH SCI CTR	37	11428326	FORT WORTH	TX
UNIVERSITY OF NORTHERN COLORADO	1	393870	GREELEY	CO
UNIVERSITY OF NOTRE DAME	42	14038680	NOTRE DAME	IN
UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR	92	42577255	OKLAHOMA CITY	OK
UNIVERSITY OF OKLAHOMA NORMAN	20	6570026	NORMAN	OK
UNIVERSITY OF OREGON	65	26914345	EUGENE	OR
UNIVERSITY OF PENNSYLVANIA	1081	451194908	PHILADELPHIA	PA
UNIVERSITY OF PITTSBURGH	11	12082008	PITTSBURGH	PA
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	963	396728993	PITTSBURGH	PA
UNIVERSITY OF PR CAYEY UNIVERSITY COLL	2	918873	CAYEY	PR
UNIVERSITY OF PUERTO RICO	1	3374717	SAN JUAN	PR
UNIVERSITY OF PUERTO RICO AT HUMACAO	2	648567	HUMACAO	PR
UNIVERSITY OF PUERTO RICO MAYAGUEZ	3	1732551	MAYAGUEZ	PR
UNIVERSITY OF PUERTO RICO MED SCIENCES	39	27133868	SAN JUAN	PR
UNIVERSITY OF PUERTO RICO PONCE	1	511826	PONCE	PR
UNIVERSITY OF PUERTO RICO RIO PIEDRAS	13	5522645	SAN JUAN	PR
UNIVERSITY OF RHODE ISLAND	22	15715843	KINGSTON	RI
UNIVERSITY OF RICHMOND	1	111375	RICHMOND	VA
UNIVERSITY OF ROCHESTER	382	146849347	ROCHESTER	NY
UNIVERSITY OF SOUTH ALABAMA	27	8981444	MOBILE	AL
UNIVERSITY OF SOUTH CAROLINA AT COLUMBIA	87	30162830	COLUMBIA	SC
UNIVERSITY OF SOUTH DAKOTA	10	6772191	VERMILLION	SD
UNIVERSITY OF SOUTH FLORIDA	99	33961330	TAMPA	FL
UNIVERSITY OF SOUTHERN CALIFORNIA	385	184275868	LOS ANGELES	CA
UNIVERSITY OF SOUTHERN MAINE	3	619749	PORTLAND	ME
UNIVERSITY OF SOUTHERN MISSISSIPPI	2	4077325	HATTIESBURG	MS
UNIVERSITY OF TENNESSEE HEALTH SCI CTR	106	33776773	MEMPHIS	TN
UNIVERSITY OF TENNESSEE KNOXVILLE	18	5158438	KNOXVILLE	TN
UNIVERSITY OF TEXAS ARLINGTON	6	1111717	ARLINGTON	TX
UNIVERSITY OF TEXAS DALLAS	29	9562406	RICHARDSON	TX
UNIVERSITY OF TEXAS EL PASO	21	7613966	EL PASO	TX
UNIVERSITY OF TEXAS HLTH CTR AT TYLER	7	1669273	TYLER	TX
UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON	194	79421539	HOUSTON	TX
UNIVERSITY OF TEXAS MEDICAL BR GALVESTON	154	78061243	GALVESTON	TX
UNIVERSITY OF TEXAS SAN ANTONIO	29	10035138	SAN ANTONIO	TX
"UNIVERSITY OF TEXAS, AUSTIN"	189	51242696	AUSTIN	TX
UNIVERSITY OF TEXAS-PAN AMERICAN	2	414469	EDINBURG	TX
UNIVERSITY OF THE DISTRICT OF COLUMBIA	1	429733	WASHINGTON	DC
UNIVERSITY OF THE SCIENCES PHILADELPHIA	1	244835	PHILADELPHIA	PA
UNIVERSITY OF THE VIRGIN ISLANDS	4	1839792	ST. THOMAS	VI
UNIVERSITY OF TOLEDO	7	2083553	TOLEDO	OH
UNIVERSITY OF TOLEDO HEALTH SCI CAMPUS	34	11955060	TOLEDO	OH
UNIVERSITY OF TULSA	1	301928	TULSA	OK
UNIVERSITY OF UTAH	381	140494332	SALT LAKE CITY	UT
UNIVERSITY OF VERMONT & ST AGRIC COLLEGE	102	51735719	BURLINGTON	VT
UNIVERSITY OF VIRGINIA	311	110028335	CHARLOTTESVILLE	VA
UNIVERSITY OF WASHINGTON	932	454274167	SEATTLE	WA
UNIVERSITY OF WESTERN STATES	1	673938	PORTLAND	OR
UNIVERSITY OF WISCONSIN MILWAUKEE	21	6543108	MILWAUKEE	WI
UNIVERSITY OF WISCONSIN-MADISON	617	240740136	MADISON	WI
UNIVERSITY OF WYOMING	14	7378993	LARAMIE	WY
UPSTATE MEDICAL UNIVERSITY	50	15814043	SYRACUSE	NY
URBAN INSTITUTE	2	402204	WASHINGTON	DC
"US WORLDMEDS, LLC"	3	6742926	LOUISVILLE	KY
UT MD ANDERSON CANCER CTR	285	130803085	HOUSTON	TX
UT SOUTHWESTERN MEDICAL CENTER	422	146038106	DALLAS	TX
UTAH STATE UNIVERSITY	18	5004610	LOGAN	UT
"UT-BATTELLE, LLC-OAK RIDGE NATIONAL LAB"	2	689158	OAK RIDGE	TN
UTILITY WORKERS UNION OF AMERICA	1	359908	WASHINGTON	DC
"VADOVATIONS, INC."	1	1399962	OKLAHOMA CITY	OK
"VAL HEALTH, LLC"	1	149439	PAOLI	PA
"VALA SCIENCES, INC."	4	1384880	SAN DIEGO	CA
VALDEZ AND ASSOCIATES	1	500000	MOUNTAIN VIEW	CA
"VALITOR, INC."	1	310870	MORAGA	CA
VAN ANDEL RESEARCH INSTITUTE	10	3259280	GRAND RAPIDS	MI
VANDERBILT UNIVERSITY MED CTR	797	311110760	NASHVILLE	TN
"VASADE BIOSCIENCES, INC."	1	764406	North Brunswick	NJ
"VASCULOX, INC."	3	1626504	SAINT LOUIS	MO
"VASGENE THERAPEUTICS, INC"	1	811279	LOS ANGELES	CA
VASSAR COLLEGE	1	263175	POUGHKEEPSIE	NY
"VAXIION THERAPEUTICS, INC."	1	144103	SAN DIEGO	CA
VAXINNATE CORPORATION	1	746690	Cranbury	NJ
"VENATORX PHARMACEUTICALS, INC."	4	7407697	Malvern	PA
VENTRIA BIOSCIENCE	3	1296788	FORT COLLINS	CO
"VENTRIX, INC."	1	1339549	SAN DIEGO	CA
"VERACHEM, LLC"	1	729882	GERMANTOWN	MD
"VERISTRIDE, INC."	1	149900	SALT LAKE CITY	UT
VETERANS BIOMEDICAL RESEARCH INSTITUTE	2	687110	EAST ORANGE	NJ
VETERANS MEDICAL RESEARCH FDN/SAN DIEGO	22	9335440	SAN DIEGO	CA
VGTI FLORIDA	2	1395425	PORT SAINT LUCIE	FL
VIA CHRISTI REGIONAL MEDICAL CENTER	1	2126787	WICHITA	KS
"VIADERM, LLC"	1	721926	Ann Arbor	MI
"VIAMET PHARMACEUTICALS, INC."	1	145000	Durham	NC
"VIDASYM, INC."	2	577795	LIBERTYVILLE	IL
"VIDATAK, LLC"	2	181490	LOS ANGELES	CA
"VIEWPLUS TECHNOLOGIES, INC."	1	595515	CORVALLIS	OR
"VIGNET, INC."	1	198824	MCLEAN	VA
VILLANOVA UNIVERSITY	1	469380	VILLANOVA UNIVERSITY	PA
"VIOCARE, INC."	1	149999	PRINCETON	NJ
"VIRAL GENOMIX, INC."	1	1312685	BLUE BELL	PA
VIRGIN INSTRUMENTS CORPORATION	2	496700	SUDBURY	MA
VIRGINIA COMMONWEALTH UNIVERSITY	227	78658968	RICHMOND	VA
VIRGINIA INSTITUTE OF MARINE SCIENCE	1	276184	GLOUCESTER POINT	VA
VIRGINIA POLYTECHNIC INST AND ST UNIV	74	26032604	BLACKSBURG	VA
"VIRIDIAN TECHNOLOGIES, INC."	1	999996	CORNELIUS	NC
"VIROGENICS, INC."	2	599968	DEL MAR	CA
"VIROGENOMICS, INC."	1	668668	TIGARD	OR
"VIRONIKA, LLC"	1	91124	Philadelphia	PA
"VIRTUAL PHANTOMS, INC."	1	121604	ALBANY	NY
"VIRTUAL REALITY AIDS, INC."	1	1	SAINT AUGUSTINE	FL
"VIRTUALLY BETTER, INC."	5	1706127	DECATUR	GA
VISDEX CORPORATION	1	404061	BERKELEY	CA
"VISIONARY PHARMACEUTICALS, INC."	1	232616	SAN DIEGO	CA
"VISIONQUEST BIOMEDICAL, LLC"	3	1327895	ALBUQUERQUE	NM
VISITING NURSE SERVICE OF NEW YORK	1	125552	NEW YORK	NY
"VITI, INC."	1	976910	PORTLAND	OR
VIVID TECHNOLOGIES	1	149051	HOUSTON	TX
"VIVO BIOSCIENCES, INC."	2	576652	BIRMINGHAM	AL
"VIVONICS, INC."	2	1207328	WALTHAM	MA
"VLP BIOTECH, INC."	1	982569	SAN DIEGO	CA
"VM DISCOVERY, INC."	1	463933	FREMONT	CA
"VORTANT TECHNOLOGIES, LLC"	1	371933	WEAVERVILLE	NC
"VOXIVA, INC."	2	480316	WASHINGTON	DC
"VULINTUS, LLC"	1	332278	SACHSE	TX
WADSWORTH CENTER	32	9988755	MENANDS	NY
WAIANAE COAST COMPREHENSIVE HEALTH CTR	1	286618	WAIANAE	HI
WAKE FOREST UNIVERSITY	8	2792286	WINSTON-SALEM	NC
WAKE FOREST UNIVERSITY HEALTH SCIENCES	234	98968006	WINSTON-SALEM	NC
WARREN CANCER RESEARCH FOUNDATION	1	424982	TULSA	OK
WASHINGTON STATE UNIVERSITY	71	20614749	PULLMAN	WA
WASHINGTON UNIVERSITY	817	321046726	SAINT LOUIS	MO
"WAVE 80 BIOSCIENCES, INC."	6	3603350	SAN FRANCISCO	CA
WAYNE STATE UNIVERSITY	158	49444251	DETROIT	MI
WEBSCIENCES INTERNATIONAL	1	137079	LOS ANGELES	CA
WEILL MEDICAL COLL OF CORNELL UNIV	266	112121941	NEW YORK	NY
"WEINBERG MEDICAL PHYSICS, LLC"	5	2538573	BETHESDA	MD
WELLESLEY COLLEGE	5	1265744	WELLESLEY	MA
"WELLGEN, INC."	1	293244	NORTH BRUNSWICK	NJ
"WELLSPRING BIOSCIENCES, LLC"	1	225016	SAN DIEGO	CA
WESLEYAN UNIVERSITY	5	1370280	MIDDLETOWN	CT
"WEST FACE MEDICAL DEVICES, INC."	1	100223	TRUCKEE	CA
WEST LIBERTY UNIVERSITY	1	106183	WEST LIBERTY	WV
WEST MICHIGAN CANCER CENTER	1	576852	KALAMAZOO	MI
WEST VIRGINIA UNIVERSITY	38	13047666	MORGANTOWN	WV
"WESTAT, INC."	28	94309220	ROCKVILLE	MD
WESTERN INTERSTATE COMMISSION HIGHER ED	1	273332	BOULDER	CO
WESTERN UNIVERSITY OF HEALTH SCIENCES	3	949286	POMONA	CA
WESTERN WASHINGTON UNIVERSITY	1	46000	BELLINGHAM	WA
WHITE BRIAR CORPORATION	1	99672	NILES	MI
"WHITE POINT SYSTEMS, INC."	1	326000	FRIDAY HARBOR	WA
WHITEHEAD INSTITUTE FOR BIOMEDICAL RES	46	18968441	CAMBRIDGE	MA
WHITTEMORE PETERSON INSTITUTE	1	284693	Reno	NV
WHITTIER COLLEGE	1	88552	WHITTIER	CA
WHM CONSULTING	1	65500	LYME	CT
"WIBI WORKS, LLC"	1	47898	NEW ORLEANS	LA
WICHITA STATE UNIVERSITY	2	1322643	WICHITA	KS
WILLIAM BEAUMONT HOSPITAL RESEARCH INST	4	2474159	ROYAL OAK	MI
WILSON WOLF MANUFACTURING CORPORATION	1	611581	NEW BRIGHTON	MN
"WINDMILL CARDIOVASCULAR SYSTEMS, INC."	1	100142	AUSTIN	TX
WINIFRED MASTERSON BURKE MED RES INST	12	5645422	WHITE PLAINS	NY
"WINSTON PHARMACEUTICALS, INC."	1	195569	VERNON HILLS	IL
WINTHROP-UNIVERSITY HOSPITAL	4	1163948	MINEOLA	NY
"WISEGENE, LLC"	1	191342	CHICAGO	IL
WISTAR INSTITUTE	55	25344586	PHILADELPHIA	PA
WOMEN AND INFANTS HOSPITAL-RHODE ISLAND	17	4492464	PROVIDENCE	RI
WOODS HOLE OCEANOGRAPHIC INSTITUTION	4	1366803	WOODS HOLE	MA
WOODTOGA HOLDINGS COMPANY	1	299546	SARATOGA	CA
"WOOMERA THERAPEUTICS, INC."	1	475993	LEBANON	NH
WORCESTER POLYTECHNIC INSTITUTE	5	1788413	WORCESTER	MA
"WORKBOOK PUBLISHING, INC."	1	98761	ARDMORE	PA
"WORLD PARKINSON COALITION, INC."	1	74500	NEW YORK	NY
WRIGHT STATE UNIVERSITY	15	6015999	DAYTON	OH
"XALUD THERAPEUTICS, INC."	2	1290905	SAN FRANCISCO	CA
XAVIER UNIVERSITY OF LOUISIANA	8	3116164	NEW ORLEANS	LA
"XCELL SCIENCE, INC."	1	224994	NOVATO	CA
"XEMED, LLC"	3	1808178	DURHAM	NH
"XEN BIOFLUIDX, INC."	1	363789	SAN DIEGO	CA
"XENOBIOTIC LABORATORIES, INC."	1	281475	PLAINSBORO	NJ
"XENOTECH, LLC"	1	70653	LENEXA	KS
"XERIS PHARMACEUTICALS, INC."	2	1392702	Austin	TX
"XFIBRA, LLC"	1	306899	DEL MAR	CA
"XIGEN, LLC"	3	631727	ROCKVILLE	MD
"XIMEREX, INC."	1	1000000	OMAHA	NE
"XINRAY SYSTEMS, INC."	1	1273428	RESEARCH TRIANGLE PARK	NC
"XL SCI-TECH, INC."	2	384717	RICHLAND	WA
XOMA CORPORATION	1	5969753	BERKELEY	CA
"XONA MICROFLUIDICS, LLC"	1	348284	TEMECULA	CA
"XORAN TECHNOLOGIES, INC."	1	901469	ANN ARBOR	MI
"XYKEN, LLC"	1	742441	VIENNA	VA
YALE UNIVERSITY	875	348058771	NEW HAVEN	CT
"YASO BIOTECHNOLOGY, INC."	1	1000000	Scottsdale	AZ
YELLOWSTONE SCIENTIFIC INSTRUMENTS	1	149800	BIG SKY	MT
YESHIVA UNIVERSITY	4	2796729	NEW YORK	NY
YORK COLLEGE	3	354099	JAMAICA	NY
"Z LENS, LLC"	2	216537	SLINGERLANDS	NY
"ZANSORS, LLC"	1	200000	MCLEAN	VA
"ZENAGENE, INC."	1	177648	GAINESVILLE	FL
"ZENALUX BIOMEDICAL, INC."	1	135392	DURHAM	NC
"ZEN-BIO, INC."	1	289934	RTP	NC
"ZETROZ, INC."	1	196601	TRUMBULL	CT
"ZONEONE PHARMA, INC."	1	160664	SAN FRANCISCO	CA
"ZUCHEM, INC."	1	184763	CHICAGO	IL
